============================= test session starts ==============================
platform linux -- Python 3.12.3, pytest-9.0.3, pluggy-1.6.0 -- /usr/bin/python3
cachedir: .pytest_cache
rootdir: /home/kity/oclab/agate/.worktrees/agate-TAG0017
configfile: pyproject.toml
plugins: asyncio-1.3.0, anyio-4.12.1, cov-7.1.0
asyncio: mode=Mode.STRICT, debug=False, asyncio_default_fixture_loop_scope=None, asyncio_default_test_loop_scope=function
collecting ... collected 71 items

agate/tests/unit/test_gate_key_suffix_audit.py::test_bdd_4_formatter_excluding_scripts_also_exclude_timeout_seconds PASSED [  1%]
agate/tests/unit/test_agate_common.py::test_bdd_4_is_gate_meta_key_formatter_suffix_true[P3_formatter] PASSED [  2%]
agate/tests/unit/test_agate_common.py::test_bdd_4_is_gate_meta_key_formatter_suffix_true[P5_formatter] PASSED [  4%]
agate/tests/unit/test_agate_common.py::test_bdd_4_is_gate_meta_key_formatter_suffix_true[P3_html_formatter] PASSED [  5%]
agate/tests/unit/test_agate_common.py::test_bdd_4_is_gate_meta_key_formatter_suffix_true[P5_js_formatter] PASSED [  7%]
agate/tests/unit/test_agate_common.py::test_bdd_1_is_gate_meta_key_timeout_seconds_suffix_true[P3_timeout_seconds] PASSED [  8%]
agate/tests/unit/test_agate_common.py::test_bdd_1_is_gate_meta_key_timeout_seconds_suffix_true[P5_timeout_seconds] PASSED [  9%]
agate/tests/unit/test_agate_common.py::test_bdd_1_is_gate_meta_key_timeout_seconds_suffix_true[P3_html_timeout_seconds] PASSED [ 11%]
agate/tests/unit/test_agate_common.py::test_bdd_2_is_gate_meta_key_ordinary_key_false[P3] PASSED [ 12%]
agate/tests/unit/test_agate_common.py::test_bdd_2_is_gate_meta_key_ordinary_key_false[P5] PASSED [ 14%]
agate/tests/unit/test_agate_common.py::test_bdd_2_is_gate_meta_key_ordinary_key_false[P3_html] PASSED [ 15%]
agate/tests/unit/test_agate_common.py::test_bdd_2_is_gate_meta_key_ordinary_key_false[project_module] PASSED [ 16%]
agate/tests/unit/test_agate_common.py::test_bdd_2_is_gate_meta_key_ordinary_key_false[P3_timeout] PASSED [ 18%]
agate/tests/unit/test_check_tdd_red.py::test_td_1_nonexistent_test_runner_exit_1 PASSED [ 19%]
agate/tests/unit/test_check_tdd_red.py::test_td_1b_no_test_runner_no_pytest_exit_3_or_1 PASSED [ 21%]
agate/tests/unit/test_check_tdd_red.py::test_td_2_all_green_exit_2 PASSED [ 22%]
agate/tests/unit/test_check_tdd_red.py::test_td_3_classic_red_light_exit_0 PASSED [ 23%]
agate/tests/unit/test_check_tdd_red.py::test_td_4_project_import_error_exit_0 PASSED [ 25%]
agate/tests/unit/test_check_tdd_red.py::test_td_5_third_party_import_error_exit_0 PASSED [ 26%]
agate/tests/unit/test_check_tdd_red.py::test_td_6_syntax_error_exit_0 PASSED [ 28%]
agate/tests/unit/test_check_tdd_red.py::test_td_7_mixed_1_failed_1_error_exit_0 PASSED [ 29%]
agate/tests/unit/test_check_tdd_red.py::test_td_8_no_project_module_import_error_heuristic PASSED [ 30%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_n1_test_runner_without_formatter_no_dash_q PASSED [ 32%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_n2_vitest_assertion_failure_exit_0 PASSED [ 33%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_n3_vitest_b_class_exit_0 PASSED [ 35%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_n4_vitest_a_class_exit_code_only PASSED [ 36%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_g1_gate_commands_p3_body_auto_read PASSED [ 38%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_g2_no_p3_test_runner_backward_compat PASSED [ 39%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_g3_test_runner_priority_over_p3 PASSED [ 40%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_g4_no_task_dir_fallback_test_runner PASSED [ 42%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_g5_double_quoted_value_strip_quotes PASSED [ 43%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_f1_formatter_classic_red_light PASSED [ 45%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_f2_no_formatter_exit_code_only PASSED [ 46%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_f3_formatter_b_class PASSED [ 47%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_f4_formatter_a_class_syntax_error PASSED [ 49%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_f11_absolute_path_formatter PASSED [ 50%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_f12_project_module_env_overrides_gate_commands PASSED [ 52%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_f5_formatter_a_class_import_not_from_project_module PASSED [ 53%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_f6_green_light_exit_2 PASSED [ 54%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_f7_test_runner_backward_compat PASSED [ 56%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_f8_no_runner_exit_3 PASSED [ 57%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_f9_no_formatter_command_runs_without_dash_q PASSED [ 59%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_f10_multi_stack_p3_and_p3_js PASSED [ 60%]
agate/tests/unit/test_check_tdd_red.py::test_td_fail_hint_classic_red_light_hint PASSED [ 61%]
agate/tests/unit/test_check_tdd_red.py::test_tdd_timeout_exit_0_with_hint PASSED [ 63%]
agate/tests/unit/test_check_tdd_red.py::test_pyx_1_read_gate_commands_p3_html_and_project_module PASSED [ 64%]
agate/tests/unit/test_check_tdd_red.py::test_pyx_2_no_gate_commands_empty_json PASSED [ 66%]
agate/tests/unit/test_check_tdd_red.py::test_pyx_3_double_quoted_value_stripped PASSED [ 67%]
agate/tests/unit/test_check_tdd_red.py::test_pyx_4_single_quoted_value_stripped PASSED [ 69%]
agate/tests/unit/test_check_tdd_red.py::test_pyx_5_no_trailing_newline_parses PASSED [ 70%]
agate/tests/unit/test_check_tdd_red.py::test_pyx_6_missing_gate_file_nonzero_exit PASSED [ 71%]
agate/tests/unit/test_check_tdd_red.py::test_pyx_7_bdd_1_timeout_seconds_excluded_from_commands PASSED [ 73%]
agate/tests/unit/test_check_tdd_red.py::test_bdd_2_timeout_seconds_declared_real_a_class_failure_stays_a_class PASSED [ 74%]
agate/tests/unit/test_check_tdd_red.py::test_bdd_30_no_formatter_compile_error_a_class PASSED [ 76%]
agate/tests/unit/test_check_tdd_red.py::test_bdd_31_no_formatter_assertion_failure_red_light PASSED [ 77%]
agate/tests/unit/test_check_tdd_red.py::test_bdd_35_formatter_project_name_error_b_class PASSED [ 78%]
agate/tests/unit/test_check_tdd_red.py::test_bdd_36_globals_get_avoidance_assertion_failure_b_class PASSED [ 80%]
agate/tests/unit/test_check_tdd_red.py::test_bdd_37_type_error_a_class PASSED [ 81%]
agate/tests/unit/test_agate_gate_missing_cmds.py::test_gmc_1_extract_command_tokens_as_key_token PASSED [ 83%]
agate/tests/unit/test_agate_gate_missing_cmds.py::test_gmc_2_tokens_with_slash_or_equals_skipped PASSED [ 84%]
agate/tests/unit/test_agate_gate_missing_cmds.py::test_gmc_3_bdd_1_timeout_seconds_key_not_treated_as_missing_command PASSED [ 85%]
agate/tests/unit/test_agate_gate_p5_count.py::test_gpc_1_count_main_and_aux_commands PASSED [ 87%]
agate/tests/unit/test_agate_gate_p5_count.py::test_gpc_2_no_gate_commands_block_counts_zero PASSED [ 88%]
agate/tests/unit/test_agate_gate_p5_count.py::test_gpc_3_formatter_excluded_from_aux PASSED [ 90%]
